date,indicator
2006-12,77.85
2007-01,84.54
2007-02,81.44
2007-03,79.59
2007-04,83.33
2007-05,84.16
2007-06,71.57
2007-07,51.74
2007-08,50.1
2007-09,58.49
2007-10,61.84
2007-11,51.84
2007-12,47.96
2008-01,27.96
2008-02,23.88
2008-03,27.24
2008-04,41.87
2008-05,51.93
2008-06,29.49
2008-07,32.73
2008-08,40.61
2008-09,23.43
2008-10,6.87
2008-11,4.24
2008-12,6.06
2009-01,5.25
2009-02,3.02
2009-03,8.27
2009-04,30.24
2009-05,50.2
2009-06,65.52
2009-07,87.9
2009-08,92.76
2009-09,93.76
2009-10,88.93
2009-11,91.15
2009-12,90.74
2010-01,83
2010-02,83
2010-03,89.8
2010-04,87.8
2010-05,59
2010-06,31.4
2010-07,53.2
2010-08,34
2010-09,67
2010-10,74.19
2010-11,70.8
2010-12,88.59
2011-01,88.4
2011-02,92
2011-03,91.4
2011-04,93.58
2011-05,87.77
2011-06,75.75
2011-07,52.2
2011-08,35.2
2011-09,19.39
2011-10,43.59
2011-11,41.2
2011-12,46.58
2012-01,67.19
2012-02,79.59
2012-03,84.16
2012-04,80.16
2012-05,52
2012-06,61.24
2012-07,59.47
2012-08,66
2012-09,68.8
2012-10,60.4
2012-11,62.59
2012-12,69.13
2013-01,85.4
2013-02,81.59
2013-03,87.4
2013-04,87
2013-05,87.97
2013-06,81.52
2013-07,86.19
2013-08,73.4
2013-09,75.7
2013-10,82.36
2013-11,80.16
2013-12,82.25
2014-01,69.07
2014-02,80.08
2014-03,81
2014-04,78.19
2014-05,80.32
2014-06,84.4
2014-07,65.4
2014-08,80.8
2014-09,62
2014-10,71
2014-11,75.4
2014-12,75.1
2015-01,60.87
2015-02,72.9
2015-03,63.32
2015-04,63.12
2015-05,58.71
2015-06,48.69
2015-07,52.71
2015-08,29.28
2015-09,24.6
2015-10,47.52
2015-11,50.29
2015-12,43.05
2016-01,29.02
2016-02,34.52
2016-03,59.12
2016-04,66.99
2016-05,72.4
2016-06,67.52
2016-07,75.19
2016-08,76.58
2016-09,72.65
2016-10,58.77
2016-11,61.53
2016-12,60.35
2017-01,65.94
2017-02,77.12
2017-03,75.74
2017-04,73.06
2017-05,67.92
2017-06,70.49
2017-07,71.68
2017-08,63.16
2017-09,70.03
2017-10,67.46
2017-11,71.82
2017-12,76.63
2018-01,79.4
2018-02,63.61
2018-03,56.26
2018-04,50.39
2018-05,52.38
2018-06,52.87
2018-07,64.55
2018-08,65.87
2018-09,62.3
2018-10,39.48
2018-11,45.72
2018-12,20.31
2019-01,42.77
2019-02,56.94
2019-03,57.02
2019-04,70.89
2019-05,48.31
2019-06,71.42
2019-07,71.08
2019-08,57.02
2019-09,67.26
2019-10,67.72
2019-11,73.5
2019-12,80.19
2020-01,68.11
2020-02,23.96
2020-03,8.71
2020-04,24.15
2020-05,41.98
2020-06,39.4
2020-07,52.17
2020-08,61.26
2020-09,58.61
2020-10,57.02
2020-11,89.5
2020-12,90.89
2021-01,83.76
2021-02,79
2021-03,92.88
2021-04,94.05
2021-05,91.88
2021-06,89.5
2021-07,86.73
2021-08,79.96
2021-09,60.79
2021-10,70.29
2021-11,55.73
2021-12,71.88
2022-01,50.69
2022-02,44.35
2022-03,51.28
2022-04,34.25
2022-05,36.03
2022-06,20.47
2022-07,34.39
2022-08,26.44
2022-09,11.13
2022-10,35.85
2022-11,63.22
2022-12,47.71
2023-01,68.78
2023-02,55.66
2023-03,40
2023-04,56.85
